"시설ID","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","연령구분코드","연령구분","X좌표값","Y좌표값","우편번호","기본주소","상세주소","설립일","사용료무료여부","사용료","전용면적(평)","학기시작시간","학기종료시간","방학시작시간","방학종료시간","재량휴일시작시간","재량휴일종료시간","토요일운영여부","토요일운영시작시간","토요일운영종료시간","월사용료무료여부","월자기부담금","월사용료","일사용료무료여부","일자기부담금","일사용료","상시돌봄정원수","일시돌봄정원수","전용면적(m2)","자치구코드배열","등록일시","수정일시"
"SB210903","성북7호점 우리동네키움센터(길음1동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.02002","37.61163","02723","서울특별시 성북구 길음로 118","e편한세상 404동 101호 (길음동 길음뉴타운)","2021-10-01","","","35","1000","1900","0900","1900","1000","1900","N","","","N","","50000","N","","2500","20","4","87","","2021-09-24 16:48:21.0","2022-05-19 09:18:06.0"
"SC210901","서초4호점 우리동네키움센터 (서초구립 반포동 초등키움센터)","1001","우리동네키움센터","11650","서초구","1003","초등학생","127.01101","37.50997","06522","서울특별시 서초구 신반포로33길 22","반포종합사회복지관 2층 (잠원동)","2021-11-12","","","40.535","1000","1900","0900","1800","0900","1800","N","","","Y","","","Y","","","25","5","134","","2021-09-23 17:47:36.0","2022-01-14 16:55:15.0"
"SB210902","성북6호점 우리동네키움센터(돈암2동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.01316300642881","37.60023389025289","02826","서울특별시 성북구 아리랑로 89","우리동네키움센터 성북6호점 (돈암동 일신건영휴먼빌아파트)","2021-10-01","","","46.3","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","152.79","","2021-09-13 14:19:39.0","2022-05-17 17:12:43.0"
"MP210901","마포구6호점 우리동네키움센터(염리동)","1001","우리동네키움센터","11440","마포구","1003","초등학생","126.94868931839967","37.55494195981467","04123","서울특별시 마포구 대흥로24길 50","1층 (염리동)","2021-10-18","","","63","1000","1900","0900","1800","1000","1900","N","","","N","","50000","N","","2500","24","4","208.37","","2021-09-03 12:59:24.0","2022-10-21 10:36:15.0"
"GR210801","구로17호점 우리동네키움센터(오정)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.83051880315416","37.48903630965426","08358","서울특별시 구로구 오리로13가길 30","1층 (오류동 동보아파트 상가)","2021-09-01","","","20","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","90.4","","2021-08-24 15:38:12.0","2022-10-31 13:59:49.0"
"SB210805","성북10호점 우리동네키움센터 (종암동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.03147","37.60009","02803","서울특별시 성북구 종암로25길 29","2층 (종암동)","2021-09-01","","","51","1000","1900","0900","1800","1000","1900","N","","","N","","50000","N","","2500","30","6","168.7","","2021-08-13 10:08:09.0","2021-12-24 10:35:05.0"
"YF210801","영등포11호점 우리동네키움센터(영등포동 아이랜드)","1001","우리동네키움센터","11560","영등포구","1003","초등학생","126.90921","37.52277","07247","서울특별시 영등포구 버드나루로7길 16","2층 (영등포동7가)","2021-09-01","","","40","1000","1900","0900","1900","0900","1900","N","","","","0","","Y","0","","25","5","132","","2021-08-12 20:18:24.0","2022-08-12 14:53:17.0"
"SB210803","성북5호점 우리동네키움센터(정릉2동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.00792","37.6007","02821","서울특별시 성북구 아리랑로19다길 12","성북5호점 우리동네키움센터 (정릉동)","2021-09-01","","","58","1000","1900","0800","1900","0800","1900","N","","","N","","50000","N","","2500","30","6","194.22","","2021-08-11 10:53:16.0","2022-05-19 11:17:31.0"
"SB210801","성북3호점 우리동네키움센터(동선동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.01562","37.59531","02830","서울특별시 성북구 아리랑로 27-3","2층 3층 (동소문동6가)","2021-09-01","","","45","1000","1900","0800","1900","1000","1900","N","","","N","","50000","N","","2500","30","6","149","","2021-08-10 17:15:48.0","2022-05-17 16:18:12.0"
"GD210701","강동5호점 고덕2동 우리동네키움센터","1001","우리동네키움센터","11740","강동구","1003","초등학생","127.16246","37.56053","05220","서울특별시 강동구 동남로82길 97","3층 (고덕동)","2021-08-02","","","50","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","175","","2021-07-29 17:11:04.0","2022-10-13 10:18:38.0"
"JG210701","중구7호점 우리동네키움센터(중구형 초등돌봄 동화센터)","1001","우리동네키움센터","11140","중구","1003","초등학생","127.01497","37.56077","04586","서울특별시 중구 청구로6길 20","효종빌딩 2층 (신당동)","2021-07-16","","","20","1200","2000","0800","2000","0800","2000","N","","","Y","","","Y","0","","20","4","66","","2021-07-21 10:49:30.0","2022-03-30 16:24:42.0"
"YF210702","영등포10호점 우리동네키움센터(신길5동 아이랜드)","1001","우리동네키움센터","11560","영등포구","1003","초등학생","126.90895","37.50381","07397","서울특별시 영등포구 신길로29길 5","2층 (신길동)","2021-07-12","","","25","0900","1900","0900","1800","0900","1800","N","","","","0","","Y","0","","20","4","84","","2021-07-11 16:58:03.0","2022-04-20 10:57:53.0"
"YF210701","영등포9호점 우리동네키움센터(대림3동 아이랜드)","1001","우리동네키움센터","11560","영등포구","1003","초등학생","126.8952","37.50072","07377","서울특별시 영등포구 대림로41길 18","2층 (대림동)","2021-07-12","","","23","1000","1900","0900","1900","0900","1900","N","","","","0","","Y","0","","20","4","78","","2021-07-11 16:54:45.0","2022-10-26 18:04:17.0"
"GJ210601","광진9호점 우리동네키움센터","1001","우리동네키움센터","11215","광진구","1003","초등학생","127.0929","37.5479","04981","서울특별시 광진구 천호대로 716","별관 1호 (구의동 아차산 포레안)","2021-07-01","","","21.3","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","16","3","70.56","","2021-06-22 13:18:51.0","2021-12-27 10:52:39.0"
"MP210603","마포5호점 우리동네키움센터(아현동)","1001","우리동네키움센터","11440","마포구","1003","초등학생","126.9498","37.54519","04147","서울특별시 마포구 백범로31길 8","공덕sk리더스뷰 (공덕동 공덕SK리더스뷰)","2021-06-28","","","73","1000","1900","0800","1900","0900","1900","N","","","N","","50000","N","","2500","30","6","243.67","","2021-06-15 18:26:35.0","2022-07-28 12:38:48.0"
"EP210601","은평9호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.90744","37.59634","03440","서울특별시 은평구 가좌로11길 7","2층 (신사동)","2021-07-19","","","24","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","78.46","","2021-06-09 16:11:36.0","2022-10-21 10:03:40.0"
"MP210601","마포4호점 융합형 우리동네키움센터(공덕동)","1009","융합형키움센터","11440","마포구","1003","초등학생","126.95994","37.54879","04185","서울특별시 마포구 만리재로 96","2~3층 (공덕동 공덕헤리지움)","2021-06-28","","","86.83","1000","2000","0800","2000","0800","2000","Y","0800","1400","N","","50000","N","","2500","32","6","332.74","","2021-06-03 17:22:50.0","2022-10-27 14:07:52.0"
"JN210401","종로5호점 우리동네키움센터","1001","우리동네키움센터","11110","종로구","1003","초등학생","126.96005","37.57583","03024","서울특별시 종로구 통일로18길 34","203동 지하 2층 (무악동 인왕산2차아이파크아파트)","2021-05-31","","","37.1","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","122.69","","2021-04-27 15:51:02.0","2022-10-25 12:47:42.0"
"GR210401","구로16호점 우리동네키움센터(궁동)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.82963","37.49903","08249","서울특별시 구로구 오리로22길 5","1층 (궁동)","2021-05-01","","","21","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","70.56","","2021-04-26 10:07:17.0","2021-12-24 13:42:44.0"
"GD210402","강동4호점 성내1동 우리동네키움센터","1001","우리동네키움센터","11740","강동구","1003","초등학생","127.12506782981711","37.52641973506129","05400","서울특별시 강동구 성내로6다길 55","109동 2층 201호 (성내동 서도휴빌)","2021-05-10","","","26","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","17","3","88.95","","2021-04-16 11:13:00.0","2022-07-04 13:27:04.0"
